Sample_Name	Channel	Global_metrics	Metric	value
GSM8461136	red	EXTENSION	Extension (T)	30178
GSM8461136	red	HYBRIDIZATION	Hyb (High)	2451
GSM8461136	red	HYBRIDIZATION	Hyb (Low)	537
GSM8461136	red	HYBRIDIZATION	Hyb (Medium)	895
GSM8461136	red	NON-POLYMORPHIC	NP (A)	7970
GSM8461136	red	NON-POLYMORPHIC	NP (C)	579
GSM8461136	red	NON-POLYMORPHIC	NP (G)	531
GSM8461136	red	NON-POLYMORPHIC	NP (G) 1	587
GSM8461136	red	NON-POLYMORPHIC	NP (G) 2	1472
GSM8461136	red	NON-POLYMORPHIC	NP (G) 3	555
GSM8461136	red	NON-POLYMORPHIC	NP (G) 4	403
GSM8461136	red	NON-POLYMORPHIC	NP (G) 5	450
GSM8461136	red	NON-POLYMORPHIC	NP (T)	6869
GSM8461136	red	SPECIFICITY I	GT Mismatch 1 (MM)	339
GSM8461136	red	SPECIFICITY I	GT Mismatch 1 (PM)	397
GSM8461136	red	SPECIFICITY I	GT Mismatch 2 (MM)	302
GSM8461136	red	SPECIFICITY I	GT Mismatch 2 (PM)	531
GSM8461136	red	SPECIFICITY I	GT Mismatch 3 (MM)	283
GSM8461136	red	SPECIFICITY I	GT Mismatch 3 (PM)	357
GSM8461136	red	SPECIFICITY I	GT Mismatch 4 (MM)	1224
GSM8461136	red	SPECIFICITY I	GT Mismatch 4 (PM)	12294
GSM8461136	red	SPECIFICITY I	GT Mismatch 5 (MM)	320
GSM8461136	red	SPECIFICITY I	GT Mismatch 5 (PM)	4125
GSM8461136	red	SPECIFICITY I	GT Mismatch 6 (MM)	334
GSM8461136	red	SPECIFICITY I	GT Mismatch 6 (PM)	2544
GSM8461136	red	SPECIFICITY II	Specificity 1	13094
GSM8461136	red	SPECIFICITY II	Specificity 2	6258
GSM8461136	red	SPECIFICITY II	Specificity 3	2961
GSM8461136	red	STAINING	Biotin (Bkg)	838
GSM8461136	red	STAINING	Biotin (High)	407
GSM8461136	red	STAINING	Biotin(5K)	NA
GSM8461136	red	STAINING	DNP (Bkg)	830
GSM8461136	red	STAINING	DNP (High)	27838
GSM8461136	red	STAINING	DNP(20K)	NA
GSM8461136	red	TARGET REMOVAL	Target Removal 1	1393
GSM8461136	red	TARGET REMOVAL	Target Removal 2	1232
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-C1	7278
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-C2	11193
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-C3	317
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-C4	547
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-C5	623
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-U1	318
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-U2	975
GSM8461137	green	BISULFITE CONVERSION I	BS Conversion I-U3	361
