Sample	DetectionRate	Log2MethIntensity	Log2UnmethIntensity	Restoration	Staining_Green	Staining_Red	Extension_Green	Extension_Red	Hybridization_High/Medium	Hybridization_Medium/Low	Target_Removal_1	Target_Removal_2	Bisulfite_Conversion_I_Green	Bisulfite_Conversion_I_Green_(Bkg)	Bisulfite_Conversion_I_Red	Bisulfite_Conversion_I_Red_(Bkg)	Bisulfite_Conversion_II	Bisulfite_Conversion_II_(Bkg)	Specificity_I_Green	Specificity_I_Red	Specificity_II	Specificity_II_(Bkg)	Non-polymorphic_Green	Non-polymorphic_Red
GSM8461182_208066090058_R01C01	0.9995	11.398	11.189	3.19888820259419	139.864583333333	103.375	43.6764705882353	31.2581196581197	1.70778145695364	1.90486202365309	19.5060240963855	17.8895027624309	11.6827852998066	6.26305609284333	4.99612903225806	2.31290322580645	6.03052631578947	3.40842105263158	12.4238410596026	4.89775051124744	34.3549783549784	14.017316017316	12.9246753246753	17.7988505747126
GSM8461183_208066090058_R02C01	0.9994	11.431	11.145	3.46090156393744	116.901639344262	101.622857142857	42.8352490421456	35.292220113852	1.66294250564901	1.99249624812406	20.38125	13.7016806722689	10.697247706422	5.98348623853211	5.35230179028133	2.25511508951407	5.5	3.59140969162996	14.8321167883212	4.18738898756661	33.5909090909091	13.4752066115702	14.3383084577114	17.3637961335677
GSM8461184_208066090058_R03C01	0.9995	11.243	11.132	4.09502125075896	114.761904761905	97.656862745098	44.7823129251701	31.8830963665087	1.69023025607919	1.92701637984657	16.0682926829268	11.5985915492958	13.114224137931	7.09913793103448	5.62364031907179	2.63451776649746	8.23734533183352	3.70528683914511	10.1533742331288	4.13926940639269	25.6451612903226	13.2822580645161	9.57826086956522	15.1696750902527
GSM8461185_208066090058_R04C01	0.9994	11.583	10.874	3.8379700397432	100.876623376623	86.3894230769231	47.169741697417	29.9313099041534	1.72623085019296	1.98353050336349	16.774358974359	11.2020547945205	11.96875	6.388671875	5.23562412342216	2.54277699859748	7.03293807641634	4.30961791831357	12.1479289940828	3.64325842696629	26.7015873015873	10.384126984127	11.1145194274029	16.2846153846154
GSM8461186_208066090058_R05C01	0.9997	11.503	11.275	4.01485298575326	111.43137254902	95.6108108108108	45.3311036789298	32.6032608695652	1.68403415846935	1.94798905032638	13.9198312236287	11.6572438162544	11.7551020408163	6.12059369202226	5.16100543478261	2.41304347826087	5.2517911975435	3.37666325486182	12.3715846994536	4.40628272251309	21.3038674033149	9.11325966850829	12.7036247334755	17.0735294117647
GSM8461187_208066090058_R06C01	0.9997	11.629	11.353	4.26161222655079	90.030612244898	107.690607734807	43.5845697329377	34.9184397163121	1.69410193177148	2.00701175500103	15.0315315315315	9.78592375366569	11.2593659942363	4.80835734870317	4.69141414141414	1.8	6.46209386281588	3.01173285198556	10.1830985915493	4.44494382022472	19.148401826484	7.61872146118721	11.4384485666105	15.1676056338028
GSM8461188_208066090058_R07C01	0.9993	11.318	10.89	4.6402530882796	122.083870967742	87.7754237288136	48.7021943573668	35.0256	1.7400732188116	2.04197814836113	18.5418994413408	11.6456140350877	12.6512096774194	6.69153225806452	6.83806818181818	2.57457386363636	6.50646551724138	3.57650862068966	3.07809110629067	3.19585849870578	16.4010989010989	9.11813186813187	12.8202764976959	18.0789473684211
GSM8461189_208066090058_R08C01	0.9993	11.238	11.104	4.44411850982693	107.093406593407	87.248031496063	37.1124694376528	30.3220108695652	1.84928457869634	2.01258532423208	16.2333333333333	12.2625899280576	11.6416938110749	5.55211726384365	5.55749831876261	2.51244115669132	6.38282828282828	3.44343434343434	7.23039215686275	4.99676375404531	27.8006993006993	11.9195804195804	11.9686274509804	17.8824561403509
GSM8461190_208066090092_R01C01	0.9988	11.358	10.769	4.73441320293399	134.853658536585	115.502762430939	49.5625	32.386748844376	1.73738708966733	1.92126984126984	20.1975308641975	13.982905982906	2.14473262888248	1.04771053474224	5.56603773584906	2.15153301886792	2.86246550137994	1.5050597976081	7.02873563218391	3.49935483870968	29.6996699669967	10.7986798679868	12.7257769652651	18.1702127659574
GSM8461191_208066090092_R02C01	0.9951	10.288	10.079	4.63987915407855	109.116666666667	103.940639269406	51.4387096774194	27.5104808877928	1.7120320855615	2.04259967231021	14.2672413793103	12.8294573643411	11.3821782178218	6.55445544554455	5.06521739130435	3.60207939508507	0.47586039158458	0.402529490453606	3.8622754491018	2.48804347826087	12.7445887445887	7.16450216450216	8.07142857142857	9.86516853932584
